Date,Close,High,Low,Open,Volume,Ticker
2025-02-04,213.21324157714844,213.35207104763063,208.28477267811405,208.74093529899983,7520600,DHR
2025-02-05,210.3573455810547,214.63132674834625,209.16736124727123,214.5519934506754,5112600,DHR
2025-02-06,208.25502014160156,212.51908968865175,207.3526361683668,211.22003928587907,4367100,DHR
2025-02-07,205.03219604492188,209.02851797242258,204.07030067961492,208.61202953558015,5230600,DHR
2025-02-10,201.79945373535156,205.250368903994,201.30363198170204,204.1298220300159,7038700,DHR
2025-02-11,199.93515014648438,201.4027933660865,198.0807817128835,200.55989037011608,6509700,DHR
2025-02-12,200.49046325683594,202.24567638082368,195.15543184367755,197.79320702322462,7207800,DHR
2025-02-13,201.888671875,203.93145481449176,199.56822999992355,200.93670270478884,7198800,DHR
2025-02-14,204.5760498046875,205.41893767096002,202.22584450395485,202.3944372084878,4791700,DHR
2025-02-18,202.8208465576172,205.53795523122417,201.08547040940317,203.72324578619546,5589000,DHR
2025-02-19,203.26705932617188,203.8620514170171,199.52857461315799,201.75977225691148,4572700,DHR
2025-02-20,206.21224975585938,209.2962614510474,203.9413929422534,204.84379210168376,4718400,DHR
2025-02-21,208.4731903076172,211.8546979746864,207.65012445974745,208.85001964625764,6217000,DHR
2025-02-24,209.37559509277344,210.92255643651706,206.21225010154683,207.85838184169577,4878100,DHR
2025-02-25,208.6516876220703,210.36722643604068,207.6997033176616,209.13758319519553,5209500,DHR
2025-02-26,207.6898193359375,210.2284243027395,206.5196721248552,208.31455958978987,4746900,DHR
2025-02-27,203.99099731445312,208.23523041443949,202.44402069661706,206.20235815068315,4494000,DHR
2025-02-28,206.0238494873047,206.36101977932628,203.22742266691236,205.31979107112355,3819000,DHR
2025-03-03,203.9711456298828,207.73939380268783,203.14807974264625,207.70964570940157,3223000,DHR
2025-03-04,204.18931579589844,206.5196689316244,200.698726454878,203.96122689740594,5652400,DHR
2025-03-05,208.80043029785156,210.05982164304837,203.22739927416896,203.72322097040487,5137100,DHR
2025-03-06,213.01490783691406,214.34370630840846,207.90795058311562,208.9590901241866,5829400,DHR
2025-03-07,210.29783630371094,213.33226287721072,208.02696430162806,211.557212606256,5937300,DHR
2025-03-10,203.51495361328125,209.45490252651413,203.0290580722017,207.44186780447433,5709600,DHR
2025-03-11,203.89181518554688,206.1329239883302,200.95654384631123,203.45548963621522,4400800,DHR
2025-03-12,203.2472381591797,207.00555999180776,202.18617245692704,203.80255604282397,3316400,DHR
2025-03-13,202.38449096679688,205.0916882509158,201.5217660802518,202.35474287631442,2456200,DHR
2025-03-14,208.97894287109375,210.14907486099918,203.3959854918532,204.4074660319816,4183000,DHR
2025-03-17,210.82339477539062,211.99352673482798,209.08801880989185,209.60366248797735,3156900,DHR
2025-03-18,211.0018768310547,211.81503166430022,208.77067922980692,211.81503166430022,2467000,DHR
2025-03-19,208.50294494628906,210.6250613097538,206.90639839728442,210.2085728793106,4125300,DHR
2025-03-20,208.4930419921875,209.88133681382138,205.7660224179734,208.4831310046325,2651200,DHR
2025-03-21,209.59375,210.78371905584945,206.6485678862881,208.9690098148861,6457700,DHR
2025-03-24,211.02171325683594,213.59006596695164,209.49457398559946,211.22003890560927,3615100,DHR
2025-03-25,210.62506103515625,212.40011126990987,208.61202605833284,211.07131268909328,3077200,DHR
2025-03-26,208.6516876220703,211.983609990585,206.84688940395614,209.29624976780983,2669300,DHR
2025-03-27,208.3542022705078,210.4465705189634,205.99408605843885,208.39386135005745,2989700,DHR
2025-03-28,204.44117736816406,208.860718725505,203.94459934701658,208.63229707899754,2389900,DHR
2025-03-31,203.5970001220703,204.7192713623821,197.78703088611138,203.06070249698396,3809500,DHR
2025-04-01,199.01853942871094,203.64665023958088,198.41271363454678,203.5969894064149,3020000,DHR
2025-04-02,203.75588989257812,204.07369193433266,197.87640815371782,197.87640815371782,2974500,DHR
2025-04-03,196.54556274414062,203.17985258308929,196.1483064131482,200.9154581568456,5413100,DHR
2025-04-04,180.52598571777344,194.12229493889842,179.95987947553175,194.12229493889842,7117800,DHR
2025-04-07,179.3838348388672,186.0677857406041,170.7433805267653,175.2125826007171,8557900,DHR
2025-04-08,173.4447784423828,185.22361024138752,170.69373183793627,183.77359568632508,5664500,DHR
2025-04-09,190.5767059326172,191.5400684735532,169.82967751385348,170.88242045854034,8180400,DHR
2025-04-10,179.52288818359375,191.13288522348162,174.30881874563397,191.13288522348162,6293500,DHR
2025-04-11,187.43833923339844,188.79897334254287,177.55643945288696,179.90028836407282,4764000,DHR
2025-04-14,191.6493377685547,192.62262652333925,189.0869931593645,191.56988346039842,4039300,DHR
2025-04-15,188.62020874023438,193.65551754935709,187.26951580908153,190.88460348446714,3505100,DHR
2025-04-16,189.3551483154297,194.60893749010373,187.83562067349374,191.14283235134246,3620300,DHR
2025-04-17,185.5513458251953,188.4414335550499,184.55818977955664,187.6965665208209,3667700,DHR
2025-04-21,183.69415283203125,184.36949168354232,180.6948172662782,184.011954893225,4857600,DHR
2025-04-22,190.75547790527344,198.2736608547989,190.50718890825257,196.88324853322518,6687700,DHR
2025-04-23,194.96646118164062,203.7062374269985,194.6685113366387,198.651076784302,6494100,DHR
2025-04-24,195.15516662597656,195.59215771894588,191.92740941715,195.35379480795567,4453400,DHR
2025-04-25,195.790771484375,196.92296870808417,192.6226014479863,195.30411959315455,2608700,DHR
2025-04-28,194.5692138671875,198.0750536640389,192.96029069114547,197.46922784097725,2715100,DHR
2025-04-29,197.5685272216797,198.11476608411368,193.71509202398647,195.01612403446455,3719900,DHR
2025-04-30,197.96580505371094,198.59149823922274,195.55242787699348,197.4294922791696,3729600,DHR
2025-05-01,195.36373901367188,198.94903306587426,194.93667401933533,197.02230784746646,3687500,DHR
2025-05-02,197.68771362304688,201.43191615279076,196.72435104785262,199.5250432121475,3159100,DHR
2025-05-05,196.0489959716797,198.8298359108269,194.668509684103,196.82365646949347,1915600,DHR
2025-05-06,188.74932861328125,196.23771928759572,188.59041999284526,194.49969603177243,4479800,DHR
2025-05-07,191.76849365234375,192.65240191036517,188.37190185788984,190.34828780755944,2902600,DHR
2025-05-08,193.48667907714844,196.41648654734942,191.30172352913195,192.4835817152792,3612600,DHR
2025-05-09,188.43148803710938,194.23153072986636,188.0243055849127,192.99008570087562,4535800,DHR
2025-05-12,199.4555206298828,199.57469450008875,191.20239672224724,192.41404825053402,7207100,DHR
2025-05-13,195.264404296875,200.3394321288236,195.01611529365707,199.54490428765465,2648300,DHR
2025-05-14,186.53456115722656,196.2774187772187,186.1770244026233,195.94967548930262,4489200,DHR
2025-05-15,189.64312744140625,189.90135768967275,178.95677477243072,185.41228850937654,6579400,DHR
2025-05-16,194.76783752441406,195.06578737633257,188.21300139964265,190.33835478360157,3868600,DHR
2025-05-19,195.06578063964844,195.15516104582952,192.35445375062173,192.89076649642504,2724500,DHR
2025-05-20,196.41647338867188,196.80380363635166,194.10241800737947,194.32091354754328,2873100,DHR
2025-05-21,185.53147888183594,194.4003702697698,185.1739420984208,194.4003702697698,5613100,DHR
2025-05-22,186.19688415527344,187.12052712307215,183.05852268699113,184.41914156869285,3104400,DHR
2025-05-23,183.27700805664062,184.717096431079,181.79721526307287,183.09824724440764,2814200,DHR
2025-05-27,187.88525390625,188.8585577445303,185.7102548905632,186.31608068608108,2990600,DHR
2025-05-28,187.71641540527344,189.99075119593786,187.2794394825945,187.51778723053604,2879200,DHR
2025-05-29,189.1664276123047,191.17260700818898,187.3390241795973,190.13971626493128,2814500,DHR
2025-05-30,188.60031127929688,189.682862796091,186.49482548749583,188.6996329373226,6514200,DHR
2025-06-02,187.93492126464844,188.9479447121074,185.7201874437008,186.93183907680523,3027700,DHR
2025-06-03,190.74554443359375,191.63939395197394,184.7270213248055,186.88216808840522,3525700,DHR
2025-06-04,191.75856018066406,194.32090445088744,190.73561072431056,191.67910588301862,2596800,DHR
